Nome do espaço,Endereço ,Quantas pessoas trabalham direta e periodicamente no Espaço?,"Em caso locação, qual o custo médio do aluguel?","Qual a média do custo mensal de manutenção da sede? (água, luz, telefone e internet)", Qual a média de público mensal atendida antes da pandemia? ,Qual a média de público mensal atendida no momento de pandemia? ,Qual a capacidade de público do espaço? ,Qual a faixa etária predominante do público atendido? ,Quais as formas de gestão de receitas do espaço?
Ballet Coppelia do Brasil,Rua Carmen Maito Stinglin 75,8,Entre 1.000 e 1.500,Entre 401 e 600,120,34,130,12,"Bilheteria, Cursos, Formação profissional"
Teatro Espaço da Criança,"Rua Domingos Strapasson, 620 - Santa Felicidade",6,Entre 2.501 e 3.000,Entre 2.000 e 3.000,2.000,1,400,12,"Bilheteria, Aluguel de equipamentos ou espaço"
Casa Posselt,"Rua Ebenezer, 96 Pilarzinho",1,Até 500,Entre 1.001 e 2.000,200,0,30,12,venda de livros em oficinas
Casa de Dança Tatiana Asinelli,"João Max Rosener, 19 - Hugo Lange",4,Entre 1.000 e 1.500,Entre 2.000 e 3.000,60,100,80, 35 a 44  ,"Cursos, Aulas"
Escola de Danças Studio D1,Rua Carlos Pioli 144,12,Acima de 5.000,Entre 2.000 e 3.000,400,150,600, 13 a 17  ,"Bilheteria, Cursos"
La Belle Dance,"Travessa augusto Marach, 79 Novo Mundo",10,Acima de 5.000,Acima de 3.000,250,70,60,12,"Cursos, Aluguel de equipamentos ou espaço"
Círculo Galeria e Arte ,"Alameda Presidente Taunay, 314. ",1,Entre 3.001 e 5.000,Entre 401 e 600,200,70,200, 25 a 34  ,"Cursos, Editais"
Centro Cultural Todo Tango ,Rua Alferes Poli 1651 Rebouças ,2,Entre 1.501 e 2.000,Acima de 3.000,80,80,120, 35 a 44  ,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço"
Têmpora Criativa,"Av. Manoel Ribas 297, sala 1",2,Entre 1.000 e 1.500,Entre 1.001 e 2.000,12,70,35,,"Cursos, Doação, Editais"
BICICLETARIA CULTURAL,"rua pres.faria, 226 centro",4,Entre 1.501 e 2.000,Entre 601 e 800,1500,900,180, 25 a 34  ,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço, servicos"
Casa Selvática,Nunes Machado 950,13,Entre 1.000 e 1.500,Entre 401 e 600,50,0,100, 25 a 34  ,"Bilheteria, Aluguel de equipamentos ou espaço, Bar/café"
Espaço Excêntrico,"Rua Lamenha Lins, 1429, Rebouças",10,Entre 2.501 e 3.000,Entre 801 e 1.000,100,0,60, 25 a 34  ,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço"
Street Extreme escola de dança,Padre Anchieta 884,25,Acima de 5.000,Entre 1.001 e 2.000,300,50,400, 13 a 17  ,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço"
Galeria Ponto de Fuga,Saldanha Marinho 1220,5,Entre 2.501 e 3.000,Entre 1.001 e 2.000,600,150,50, 25 a 34  ,"Cursos, Bar/café, Editais"
Laboratório de criação Araucária,"R. Des. Benvindo Valente, 270, São Francisco, Curitiba.",3,Entre 1.000 e 1.500,Entre 200 e 400,30,5,15, 18 a 24  ,"Cursos, Aluguel de equipamentos ou espaço, Editais"
Casa Baquetá,"Rua Suboficial Sebastião de Freitas, n10. Pilarzinho. Curitiba",7,Até  500,Entre 200 e 400,700,0,-,12,Editais
Mahallo,Conde dos arcos 1148 Lindóia Curitiba,6,Entre 1.501 e 2.000,Entre 2.000 e 3.000,70,10,100, 25 a 34  ,Mensalidade
Teatro Barracão EnCena,"Rua Treze de Maio, 160",24,Acima de 5.000,Acima de 3.000,2000,200,180, 18 a 24  ,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço, Bar/café, Editais"
Amusic,Rua Engenheiro Teodoro Sampaio 58,14,Entre  2.001 e 2.500,Acima de 3.000,180,80,300, 13 a 17  ,Cursos
Ave Lola e as Meninas Produções Artísticas LTDA - ME. ,"Rua Marechal Deodoro, 1227. ",4,Entre 2.501 e 3.000,Acima de 3.000,1000,0,60, 25 a 34  ,Editais
Alfaiataria Espaço de Artes,Rua Riachuelo 274 - Curitiba/PR,6,Até 500,Entre 2.000 e 3.000,400,0,100, 25 a 34  ,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço, Bar/café, Doação, Editais"
Espaço Antropofocus,"Avenida Sete de Setembro, 2620",4,Entre 1.000 e 1.500,Até 200,30,0,20, 25 a 34  ,"Cursos, Aluguel de equipamentos ou espaço"
Centro Cultural Boqueirão,Rua: José Guercheski 299/04/06,15,Até 500,Entre 2.000 e 3.000,10.000,20,120, 13 a 17  ,"Bilheteria, Doação, Editais"
casa do Damaceno,"Rua 13 de maio, 991 ",3,Entre 3.001 e 5.000,Entre 801 e 1.000,700,0,50, 25 a 34  ,"Cursos, Aluguel de equipamentos ou espaço, Editais"
Companhia do Abração,"Rua Paulo Ildefonso Assumpção 725, Bacacheri",6,Entre 3.001 e 5.000,Entre 1.001 e 2.000,40,0,60,,"Cursos, Editais, Vendas de espetáculos de repertório"
Studio Dança Comigo ,Rua mexico 794,2,Entre 3.001 e 5.000,Entre 601 e 800,100,30,, 25 a 34  ,Aulas
Ponte Musical,"Rua Cleto da Silva 211, Boqueirão ",1,Entre 501 e 1.000,Até 200,60,7,80, 13 a 17  ,Cursos
Espaço Cultural Cia dos Palhaços,"Trajano Reis, 41",10,Entre 1.501 e 2.000,Acima de 3.000,2000,0,180, 25 a 34  ,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço, Bar/café, Editais"
Cia do abração ,Rua Paulo Ildefonso Assumpção 725,6,Acima de 5.000,Acima de 3.000,109,16,200,12,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço, Editais, Vendas de apresentações teatrais "
escola de música trilhas,rua padre germano mayer 375,12,Entre 1.501 e 2.000,Entre 401 e 600,180,60,200, 55 a 64  ,Cursos
Sala de ballet Carmem machado ,Rua luiz del gobbo 54,3,Entre 1.000 e 1.500,Entre 2.000 e 3.000,60,20,70,12,Cursos
430 Espaços Compartilhados - Espaço Cultural Fábrica,Rua São Pio X 430,2,Entre  2.001 e 2.500,Entre 801 e 1.000,100,0,40, 25 a 34  ,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço, Editais, Recursos provenientes de apresentações em escolas e empresas"
Tô de Bolhas,Arthur Francisco Fronza 82 Pilarzinho,2,Entre 1.000 e 1.500,Entre 601 e 800,200,2,Depende da ocasião. Já fizemos evento em shopping que teve rotativo 2000 pessoas.,12,"Editais, Vendas de produtos, brinquedos e cachês"
BICICLETARIA CULTURAL,"Rua PRES. Faria, 226 ",5,Entre  2.001 e 2.500,Entre 801 e 1.000,1600,500,50, 25 a 34  ,"Bilheteria, Cursos, Aluguel de equipamentos ou espaço, Bar/café, Doação, Editais, oficina de bicicletas"
