Carimbo de data/hora,Nome do espaço,Endereço,O espaço possui CNPJ?, Qual é a natureza jurídica do espaço?,Há quantos anos o espaço existe?, A sede do imóvel é:,Qual a área de atuação do espaço?,Quais são as principais atividades desenvolvidas?,Alguma destas atividades é desenvolvida fora da sede?,"Em caso positivo, quais são e onde ocorrem?",O espaço possui divulgação por meio digital?,O espaço oferta atividades por meio digital?,"Em caso afirmativo, as atividades já eram ofertadas antes da pandemia?"
12/11/2020 08:43:12,Ballet Coppelia do Brasil,Rua Carmen Maito Stinglin 75,Sim.,ME,45,Própria,Dança,"Ballet Clássico, Jazz, Contemporâneo, Dança de Salão, Ritmos, GR",Sim,Parcerias de escolas de ensino regular,Sim,Sim,Sim
12/11/2020 10:20:58,Teatro Espaço da Criança,"Rua Domingos Strapasson, 620 - Santa Felicidade",Sim.,Sociedade,29,Própria,Teatro,Produção e Apresentação de peças teatrais para Crianças,Não,,Sim,Sim,Não
12/11/2020 10:39:02,Casa Posselt,"Rua Ebenezer, 96 Pilarzinho",Sim.,Mei - venda de livros,3,Própria,"Artes Visuais, Literatura",Oficinas de haicai / lançamentos / oficinas diversas,Sim,Oficina de haicai em escolas,Sim,Não,Não
12/11/2020 10:39:02,Casa de Dança Tatiana Asinelli,"João Max Rosener, 19 - Hugo Lange",Sim.,Escola de dança,14,Própria,Dança,Aulas de dança de salão,Sim,"Apresentações artisticas, aulas em eventos ou outras instituições",Sim,Sim,Não
12/11/2020 10:50:36,Escola de Danças Studio D1,Rua Carlos Pioli 144,Sim.,Sociedade,31,Própria,"Dança, musculação",Ensino da dança em várias modalidades ( ritmos ) ,Sim,Escola e Clubes,Sim,Sim,Não
12/11/2020 14:10:04,La Belle Dance,"Travessa augusto Marach, 79 Novo Mundo",Sim.,Sociedade,15,Locada,Dança,"Ballet, Dança Contemporânea, Sreet Dance, Jazz, Sapateado e Dança de Salão",Sim,"Ballet, Sreet Dance, Sapateado e Jazz. Nas 4 escolas da Rede Sagrado Sul",Sim,Sim,Não
12/11/2020 14:30:09,Círculo Galeria e Arte ,"Alameda Presidente Taunay, 314. ",Sim.,MEI ,0.65,Locada,Artes Visuais,"Exposições, Cursos, Mediações ",Não,,Sim,Sim,Não
12/11/2020 16:25:12,Centro Cultural Todo Tango ,Rua Alferes Poli 1651 Rebouças ,Sim.,Sociedade,7,Própria,"Dança, Música, Teatro","Aulas, palestras e Congressos de Tango ",Sim,Atividades gratuitas em espaço Público ,Sim,Não,Não
12/11/2020 17:57:37,Têmpora Criativa,"Av. Manoel Ribas 297, sala 1",Sim.,MEI,1,Locada,"Literatura, Música, Editora e Produtora Cultural","Oficinas de música e escrita, edição de livros e produção de projetos culturais.",Não,,Sim,Sim,Não
13/11/2020 10:04:19,BICICLETARIA CULTURAL,"rua pres.faria, 226 centro",Sim.,mei,9,Locada,"Artes Visuais, Audiovisual, Dança, Literatura, Música, Patrimônio Cultural, Teatro, Artesanato",atendimento a ciclistas,Sim,escolas e praças públicas,Sim,Sim,Sim
13/11/2020 15:28:02,Casa Selvática,Nunes Machado 950,Sim.,Sociedade,8,Locada,"Artes Visuais, Dança, Literatura, Música, Teatro, Circo","cine clubes, espetáculos, performances, oficinas, produtora cultural, eventos gastronômicos",Sim,espetáculos de teatro podem acontecer em outros teatros da cidade e fora,Sim,Sim,Não
17/11/2020 15:39:51,Espaço Excêntrico,"Rua Lamenha Lins, 1429, Rebouças",Sim.,EIRELI,20,Própria,"Audiovisual, Dança, Música, Teatro, Circo",Aulas de teatro e dança; apresentações de teatro;,Sim,Aulas e apresentações de teatro em outros espaços e em outras cidades  ,Sim,Não,Não
19/11/2020 14:15:59,Street Extreme escola de dança,Padre Anchieta 884,Sim.,Sociedade,15,Locada,Dança,"dança, produção de eventos e espetáculos, competições ",Sim,teatros,Sim,Sim,Sim
30/11/2020 19:28:23,Galeria Ponto de Fuga,Saldanha Marinho 1220,Sim.,MEI,10,Locada,"Artes Visuais, Audiovisual","Exposições, cursos, grupos de estudos, conversas, palestras, eventos, venda de obras",Sim,Frequentemente participamos de editais onde nossos cursos e exposições que são montadas em outros locais.,Sim,Sim,Não
08/12/2020 17:44:07,Laboratório de criação Araucária,"R. Des. Benvindo Valente, 270, São Francisco, Curitiba.",Não.,Não possui CNPJ,1.5,De terceiros,"Artes Visuais, Audiovisual, Novas mídias, tecnologias open source","Cursos, oficinas e serviços. Atelier de novas mídias, fabricação digital (Fab Lab), ",Não,,Sim,Sim,Não
09/12/2020 17:04:13,Casa Baquetá,"Rua Suboficial Sebastião de Freitas, n10. Pilarzinho. Curitiba",Sim.,Sociedade,7,Própria,"Dança, Literatura, Música, Teatro, Artesanato","Espetáculos de Artes Cênicas, Shows Musicais, Oficinas de Artes",Sim,"Geralmente acontecem fora da sede em escolas, SESC, praças",Sim,Não,
10/12/2020 09:36:30,Mahallo,Conde dos arcos 1148 Lindóia Curitiba,Sim.,Micro empresa,7,Locada,Circo,Aulas de circo e ensaios para produção de espetáculos,Não,,Sim,Sim,Sim
10/12/2020 14:16:10,Teatro Barracão EnCena,"Rua Treze de Maio, 160",Sim.,Sociedade,14,Locada,"Audiovisual, Teatro, Escola de Teatro e Vídeo",Produção de espetáculos e escola de teatro e vídeo,Sim,Nos clientes,Sim,Sim,Não
15/12/2020 22:55:50,Amusic,Rua Engenheiro Teodoro Sampaio 58,Sim.,Sociedade,11,Própria,"Dança, Música",Aulas de música e dança ,Não,,Sim,Sim,Não
16/12/2020 10:59:31,Ave Lola e as Meninas Produções Artísticas LTDA - ME. ,"Rua Marechal Deodoro, 1227. ",Sim.,Micro Empresa,10,Locada,"Audiovisual, Teatro","Criação e apresentação dos espetáculos da companhia, oficinas. ",Sim,"Em caso de projetos realizados em parceria com outros órgãos, realizamos atividades em escolas, ruas da cidadania e outros. ",Sim,Sim,Não
